"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_186","186","2022_7_AM6_R","recovery","2022","ws7","AM","Rhizosphere","517_722",NA,NA,0.93013283,0.274028914,0.059264555,0.700169383,0.965142719
"Brzostek_187","187","2022_7_AM6_B","recovery","2022","ws7","AM","Bulk","517_722",NA,64.28571429,1.084131169,0.242888671,0.051216231,0.6847973,0.903249393
"Brzostek_189","189","2022_7_ECM1_R","recovery","2022","ws7","ECM","Rhizosphere","517_722",NA,NA,0.890001464,0.415009542,0.090367902,1.108107295,0.305452145
"Brzostek_192","192","2022_7_ECM2_R","recovery","2022","ws7","ECM","Rhizosphere","517_722",NA,NA,1.773211867,0.48469682,0.106487917,1.018279211,0.518331051
"Brzostek_193","193","2022_7_ECM2_B","recovery","2022","ws7","ECM","Bulk","517_722",NA,7.692307692,1.07746145,0.344754369,0.074121878,0.53090808,0.838564153
"Brzostek_195","195","2022_7_ECM3_R","recovery","2022","ws7","ECM","Rhizosphere","517_722",NA,NA,0.23059136,0.183599825,0.038769237,1.24370511,1.030976388
"Brzostek_196","196","2022_7_ECM3_B","recovery","2022","ws7","ECM","Bulk","517_722",NA,4.761904762,0.509311777,0.170002413,0.033908176,1.232827647,1.520663993
"Brzostek_198","198","2022_7_ECM4_R","recovery","2022","ws7","ECM","Rhizosphere","517_722",NA,NA,0.702736997,0.245582809,0.051898285,0.522507543,0.612524738
"Brzostek_199","199","2022_7_ECM4_B","recovery","2022","ws7","ECM","Bulk","517_722",NA,31.81818182,0.80986318,0.295134194,0.063344307,0.372891297,0.396684918
"Brzostek_201","201","2022_7_ECM5_R","recovery","2022","ws7","ECM","Rhizosphere","517_722",NA,NA,0.456007751,0.07979161,0.012125553,0.194786686,0.133470164
"Brzostek_202","202","2022_7_ECM5_B","recovery","2022","ws7","ECM","Bulk","517_722",NA,20.83333333,0.940514757,0.141312306,0.025975657,0.342122472,0.327948834
